구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
공중화장실,중앙중학교,,대구광역시 수성구 수성동4가 1145,N,24,37,0,0,0,0,2,0,0,중앙중학교,053-752-9667,09:00~18:00,Sep-64,35.86710725,128.6165606,2019-09-10
공중화장실,DFC(대구파이낸스센터),"대구광역시 수성구 청수로 43, (중동)",대구광역시 수성구 중동 179,N,64,68,3,0,0,0,43,0,1,대구파이낸스센터,053-761-7983,06:00~24:00,Mar-97,35.8412501,128.6130011,2019-09-10
공중화장실,대성주유소,"대구광역시 수성구 희망로 146, (중동)",대구광역시 수성구 중동 73-1,Y,1,1,0,0,0,0,0,0,0,대성주유소,053-764-5124,06:00~23:00,Aug-95,35.84654028,128.6145633,2019-09-10
개방화장실,대구개인택시조합제1충전소,"대구광역시 수성구 수성로 286, (중동)",대구광역시 수성구 중동 7-1,N,2,3,0,0,0,0,2,0,0,대구개인택시조합제1충전소,053-763-0153,24시간,Feb-76,35.85096176,128.6136734,2019-09-10
공중화장실,기분좋은주유소,"대구광역시 수성구 희망로 101-1, (중동)",대구광역시 수성구 중동 537-21,N,1,1,0,0,0,0,1,0,0,기분좋은주유소,053-761-6051,06:00~23:00,Jul-92,35.84732038,128.6100637,2019-09-10
개방화장실,아름다운주유소,"대구광역시 수성구 수성로 250, (중동)",대구광역시 수성구 중동 32-4,N,1,1,0,0,0,0,1,0,0,아름다운주유소,053-762-2692,24시간,Dec-94,35.8478245,128.613311,2019-09-10
공중화장실,수성시장,"대구광역시 수성구 명덕로 420, (수성동2가)",대구광역시 수성구 수성동2가 39-3,N,2,1,0,0,0,0,2,0,0,수성시장,053-755-3218,09:00~18:00,Jan-71,35.85426618,128.6160181,2019-09-10
공중화장실,동일가스,"대구광역시 수성구 청수로 1, (중동)",대구광역시 수성구 중동 551-8,N,1,2,0,0,0,0,3,0,0,동일가스,053-762-8855,24시간,Oct-82,35.84172228,128.6083932,2019-09-10
공중화장실,삼육초등학교,"대구광역시 수성구 청수로 22-23, (중동)",대구광역시 수성구 중동 410-1,N,8,10,1,2,0,0,11,1,0,삼육초등학교,053-232-5961,08:00~18:00,Apr-84,35.8400739,128.6106256,2019-09-10
공중화장실,효성여성병원,,대구광역시 수성구 중동 105-1,N,5,5,0,0,0,0,8,0,0,효성여성병원,053-766-7070,09:00~18:00,Feb-97,35.8429994,128.6128651,2019-09-10
공중화장실,효성아동병원,"대구광역시 수성구 수성로 200, (중동)",대구광역시 수성구 중동 104-1,N,11,11,0,0,1,0,22,0,1,효성아동병원,053-212-7700,09:00~18:00,Apr-18,35.84321413,128.6129014,2019-09-10
공중화장실,NH농협은행,"대구광역시 수성구 희망로 124, (중동)",대구광역시 수성구 중동 320-3,N,14,21,0,0,0,0,14,0,0,NH농협은행,053-760-3094,08:00~18:00,Jul-92,35.84688729,128.6123666,2019-09-10
공중화장실,황금캐슬주유소,"대구광역시 수성구 청수로 172, (지산동)",대구광역시 수성구 지산동 932,N,1,1,1,0,0,0,1,1,0,황금캐슬주유소,053-765-7100,24시간,Dec-99,35.8388163,128.6268039,2019-09-10
공중화장실,한일주유소,"대구광역시 수성구 청수로 162, (지산동)",대구광역시 수성구 지산동 942,N,1,1,0,0,0,0,1,0,0,한일주유소,053-766-2966,06:00~23:00,Jul-94,35.83901141,128.6256145,2019-09-10
공중화장실,지산주유소,"대구광역시 수성구 지산로14길 63, (지산동)",대구광역시 수성구 지산동 566-2,N,1,2,0,0,0,0,0,0,0,지산주유소,053-784-2722,06:00~23:00,Jan-93,35.82655863,128.6370073,2019-09-10
공중화장실,지봉초등학교,"대구광역시 수성구 지범로31길 45, (지산동)",대구광역시 수성구 지산동 1296,N,17,73,5,1,0,0,32,5,0,지봉초등학교,053-781-9273,08:30~16:30,Dec-91,35.8253389,128.6405272,2019-09-10
공중화장실,복음선교관,"대구광역시 수성구 동대구로 20, (지산동)",대구광역시 수성구 지산동 1054-3,N,12,18,0,0,0,0,11,0,0,복음선교관,053-765-8006,09:00~18:00,Oct-93,35.83191727,128.6239691,2019-09-10
공중화장실,문화주유소,"대구광역시 수성구 청호로 93, (지산동)",대구광역시 수성구 지산동 103,N,1,2,0,0,0,0,2,0,0,문화주유소,053-782-3300,06:00~23:00,Jan-95,35.8261534,128.6441162,2019-09-10
공중화장실,능인고등학교,"대구광역시 수성구 무학로 207, (지산동)",대구광역시 수성구 지산동 800,N,70,112,4,0,0,0,4,0,0,능인고등학교,053-235-4420,09:00~18:00,Feb-87,35.8317908,128.6324892,2019-09-10
공중화장실,능인중학교,"대구광역시 수성구 무학로 207, (지산동)",대구광역시 수성구 지산동 800,N,28,46,1,0,0,0,4,1,0,능인중학교,053-232-9103,09:00~18:00,Feb-87,35.8317908,128.6324892,2019-09-10
공중화장실,지산초등학교,"대구광역시 수성구 지범로17길 3-14, (지산동)",대구광역시 수성구 지산동 1149,N,15,26,0,5,0,0,30,1,0,지산초등학교,053-232-0900,08:30-16:30,Nov-77,35.827213,128.6298996,2019-09-10
공중화장실,한패밀리병원,"대구광역시 수성구 동대구로 12, (지산동)",대구광역시 수성구 지산동 1054-5,N,8,16,2,0,0,0,7,4,0,한패밀리병원,053-760-8893,08:00-20:00,Jan-98,35.83130433,128.624014,2019-09-10
개방화장실,대구광역시교통연수원,"대구광역시 수성구 무학로 203, (지산동)",대구광역시 수성구 지산동 761-10,N,20,39,1,0,0,0,13,0,0,대구광역시교통연수원,053-765-3001,24시간,Jun-88,35.8303843,128.6304969,2019-09-10
공중화장실,대림주유소,"대구광역시 수성구 용학로 244, (지산동)",대구광역시 수성구 지산동 1205-3,N,1,1,0,0,0,0,1,0,0,대림주유소,053-781-5151,06:00~23:00,Dec-93,35.8201309,128.6349431,2019-09-10
공중화장실,수성지에스주유소,"대구광역시 수성구 지범로 52, (지산동)",대구광역시 수성구 지산동 1161-24,N,2,2,0,0,0,0,0,0,0,수성지에스주유소,053-783-8900,06:00~23:00,Apr-96,35.82597385,128.6264016,2019-09-10
개방화장실,신화명품주유소,"대구광역시 수성구 동대구로 74, (지산동)",대구광역시 수성구 지산동 997-2,N,1,2,0,0,0,0,2,0,0,신화명품주유소,053-767-5142,06:00~24:00,Feb-18,35.8366897,128.624502,2019-09-10
공중화장실,지산중학교,"대구광역시 수성구 지산로3길 68, (지산동)",대구광역시 수성구 지산동 1256-1,N,22,39,2,0,0,0,51,1,0,지산중학교,053-232-6633,09:00~18:00,Oct-91,35.82463738,128.6287306,2019-09-10
공중화장실,용지초등학교,"대구광역시 수성구 지산로 12, (지산동)",대구광역시 수성구 지산동 1272,N,33,81,1,1,0,0,57,1,0,용지초등학교,053-232-3785,08:30~16:30,Jul-97,35.8220084,128.6327215,2019-09-10
공중화장실,지산목련시장,,대구광역시 수성구 지산동 1299-10,N,1,2,1,0,0,0,1,1,0,지산목련시장,053-783-4927,09:00~18:00,Dec-89,35.82561632,128.6411849,2019-09-10
공중화장실,아주빌딩,"대구광역시 수성구 지범로 182, (지산동)",대구광역시 수성구 지산동 1275-10,N,16,16,8,0,0,0,16,0,0,아주빌딩,053-783-2511,09:00~18:00,Apr-96,35.8211021,128.6391009,2019-09-10
공중화장실,수성고등학교,"대구광역시 수성구 용학로28길 36, (지산동)",대구광역시 수성구 지산동 1184-3,N,35,59,1,0,0,0,64,1,0,수성고등학교,053-712-8152,09:00~18:00,Nov-18,35.8210304,128.6258546,2019-09-10
개방화장실,동아스포츠센터,"대구광역시 수성구 지범로 59, (지산동)",대구광역시 수성구 지산동 1160-74,N,25,24,0,0,0,0,23,0,0,동아스포츠센터,053-784-6277,09:00~18:00,Jun-93,35.8259285,128.6297478,2019-09-10
공중화장실,신세계주유소,"대구광역시 수성구 파동로 159, (파동)",대구광역시 수성구 파동 27-33,N,1,2,0,0,0,0,1,0,0,신세계주유소,053-763-7894,06:00~23:00,Jan-95,35.8172499,128.6135038,2019-09-10
공중화장실,파동주유소,"대구광역시 수성구 파동로 71, (파동)",대구광역시 수성구 파동 506-4,N,1,2,0,0,0,0,1,0,0,파동주유소,053-768-8182,06:00~23:00,Sep-96,35.8105161,128.6184122,2019-09-10
공중화장실,정다운주유소,"대구광역시 수성구 파동로 59, (파동)",대구광역시 수성구 파동 495,N,2,1,0,0,0,0,1,0,0,정다운주유소,053-766-8884,06:00~23:00,Mar-95,35.8097087,128.619099,2019-09-10
공중화장실,두산초등학교,"대구광역시 수성구 동대구로6길 31, (지산동)",대구광역시 수성구 지산동 1043,N,26,47,4,4,0,0,49,5,0,두산초등학교,053-232-3598,08:00~17:00,Dec-97,35.83260024,128.6262545,2019-09-10
공중화장실,대자연주유소,"대구광역시 수성구 파동로 42, (파동)",대구광역시 수성구 파동 481-3,N,1,1,0,0,0,0,1,0,0,대자연주유소,053-768-3200,06:00~23:00,Jan-96,35.8084712,128.6208332,2019-09-10
공중화장실,수성중학교,"대구광역시 수성구 파동로51길 26-9, (파동)",대구광역시 수성구 파동 2,N,21,39,1,1,0,0,32,1,0,수성중학교,053-232-6312,09:00~18:00,Mar-83,35.8255985,128.6071854,2019-09-10
공중화장실,파동초등학교,"대구광역시 수성구 파동로51길 34, (파동)",대구광역시 수성구 파동 8,N,18,23,4,0,0,0,27,4,0,파동초등학교,053-232-3090,08:00~17:00,Mar-83,35.8242729,128.6076568,2019-09-10
개방화장실,대구장애인종합복지관,"대구광역시 수성구 파동로51길 26-17, (파동)",대구광역시 수성구 파동 1-1,N,9,11,12,14,0,0,13,14,0,대구장애인종합복지관,053-763-1011,08:30~18:00,Apr-87,35.8265788,128.6070623,2019-09-10
공중화장실,성동초등학교,"대구광역시 수성구 청수로45길 27, (황금동)",대구광역시 수성구 황금동 373,N,36,69,4,0,0,0,60,5,0,성동초등학교,053-770-0502,09:00~18:00,Mar-82,35.8413628,128.6323184,2019-09-10
공중화장실,경북고등학교,"대구광역시 수성구 청호로 300, (황금동)",대구광역시 수성구 황금동 9,N,107,158,2,0,0,0,6,0,0,경북고등학교,053-760-5502,09:00~18:00,Nov-84,35.8444499,128.6406387,2019-09-10
개방화장실,국립대구박물관,"대구광역시 수성구 청호로 321, (황금동)",대구광역시 수성구 황금동 70,N,8,11,6,3,2,3,23,6,2,국립대구박물관,053-768-6051,09:00~18:00,Dec-94,35.8460881,128.6385098,2019-09-10
공중화장실,㈜율당골든게이트,"대구광역시 수성구 청호로 297, (황금동)",대구광역시 수성구 황금동 92,N,5,15,0,0,0,0,10,0,0,㈜율당골든게이트,053-761-8300,09:00~18:00,May-18,35.84391854,128.6384986,2019-09-10
개방화장실,황금게이트볼장,,대구광역시 수성구 황금동 605-2,N,0,1,0,0,0,0,1,0,0,황금게이트볼장,053-744-8088,09:00~18:00,Jan-00,35.84361769,128.6254668,2019-09-10
공중화장실,사랑가득주유소,"대구광역시 수성구 동대구로 221, (황금동)",대구광역시 수성구 황금동 670-1,N,1,2,0,0,0,0,1,0,0,사랑가득주유소,053-767-1010,06:00~24:00,Feb-93,35.85026502,128.6245892,2019-09-10
개방화장실,믿음가득주유소,"대구광역시 수성구 동대구로 138, (황금동)",대구광역시 수성구 황금동 601-1,N,1,1,0,0,0,0,1,0,0,믿음가득주유소,053-764-8420,06:00~24:00,Sep-94,35.84252014,128.6250707,2019-09-10
개방화장실,동산가스,"대구광역시 수성구 동대구로 116, (황금동)",대구광역시 수성구 황금동 546,Y,2,2,0,0,0,0,0,0,0,㈜동산가스,053-763-8877,24시간,Jul-84,35.84066527,128.624713,2019-09-10
개방화장실,황금기름창고주유소,"대구광역시 수성구 청수로 89, 5호 (황금동)",대구광역시 수성구 황금동 887-1 5호,N,1,2,0,0,0,0,1,0,0,황금기름창고주유소,053-766-5151,24시간,Aug-94,35.84061863,128.6180598,2019-09-10
공중화장실,만포주유소,,대구광역시 수성구 황금동 762-23,N,2,2,0,0,0,0,2,0,0,만포주유소,053-768-5189,06:00~21:50,Nov-94,35.84666519,128.6218043,2019-09-10
공중화장실,황금초등학교,"대구광역시 수성구 들안로32길 22, (황금동)",대구광역시 수성구 황금동 820,N,28,74,5,0,0,0,53,1,0,황금초등학교,053-232-2046,09:00~18:00,Mar-80,35.8440211,128.6183757,2019-09-10
공중화장실,황금시장,"대구광역시 수성구 청솔로 19, (황금동, 황금시장)",대구광역시 수성구 황금동 746 황금시장,N,6,2,0,0,0,0,6,0,0,황금시장,053-766-7169,09:00~18:00,Jan-81,35.84844996,128.6199743,2019-09-10
공중화장실,화성산업본사사옥,"대구광역시 수성구 동대구로 111, (황금동)",대구광역시 수성구 황금동 847-2,N,15,23,0,0,0,0,16,0,0,화성산업본사사옥,053-767-2111,09:00~18:00,Dec-00,35.84032889,128.623537,2019-09-10
공중화장실,LG U+ 황금사옥,"대구광역시 수성구 동대구로 125, (황금동)",대구광역시 수성구 황금동 846-3,N,16,16,0,0,0,0,16,0,0,LG U+ 황금사옥,053-712-5390,08:00~21:00,Mar-96,35.84146405,128.6236344,2019-09-10
개방화장실,한국방송광고공사,"대구광역시 수성구 동대구로 126, (황금동)",대구광역시 수성구 황금동 541-1,N,12,14,0,0,0,0,11,0,0,한국방송광고진흥공사 대구지사,053-767-9900,08:00~22:00,Dec-97,35.8415031,128.6247637,2019-09-10
공중화장실,우신빌딩,"대구광역시 수성구 동대구로 194, (황금동)",대구광역시 수성구 황금동 661,N,14,14,0,0,0,0,14,0,0,우신빌딩,053-741-6060,09:00~18:00,Dec-18,35.8477031,128.6253323,2019-09-10
공중화장실,대구과학고등학교,"대구광역시 수성구 동대구로 154, (황금동)",대구광역시 수성구 황금동 613,N,43,53,9,9,0,0,65,9,0,대구과학고등학교,053-231-7618,08:00~19:00,Nov-90,35.8443207,128.6252903,2019-09-10
공중화장실,현대e병원,"대구광역시 수성구 희망로 219, (황금동)",대구광역시 수성구 황금동 687-3,N,10,17,1,0,0,0,9,3,0,현대e병원,053-762-2009,09:00~18:00,May-98,35.8467364,128.6228888,2019-09-10
개방화장실,범어1동주민센터,"대구광역시 수성구 범어천로 97, (범어동)",대구광역시 수성구 범어동 882-15,N,4,4,1,1,0,0,4,1,0,범어1동주민센터,053-666-3542,09:00~18:00,Jul-93,35.8556301,128.6220509,2019-09-10
개방화장실,범어지구대,"대구광역시 수성구 동대구로 313, (범어동)",대구광역시 수성구 범어동 563-8,N,3,6,1,0,0,0,1,0,0,범어지구대,053-600-6307,09:00~18:00,Nov-18,35.8585703,128.6251586,2019-09-10
개방화장실,대구지방고용노동청,"대구광역시 수성구 동대구로 231, (범어동)",대구광역시 수성구 범어동 743,N,10,15,2,0,0,0,16,0,0,대구지방고용노동청,053-667-6207,09:00~18:00,Dec-18,35.8510261,128.6245059,2019-09-10
개방화장실,수성구청,"대구광역시 수성구 달구벌대로 2450, (범어동)",대구광역시 수성구 범어동 238-3,N,40,48,5,1,0,0,41,0,0,수성구청,053-666-2262,09:00~18:00,Aug-78,35.8580437,128.630552,2019-09-10
개방화장실,수성경찰서,"대구광역시 수성구 달구벌대로 2460, (범어동)",대구광역시 수성구 범어동 238-37,N,23,32,4,0,0,0,3,0,0,수성경찰서,053-600-9339,09:00~18:00,Jul-84,35.85826801,128.6318343,2019-09-10
개방화장실,범어2동우체국,"대구광역시 수성구 달구벌대로 2465, (범어동)",대구광역시 수성구 범어동 167-6,N,2,1,0,0,0,0,0,0,0,범어2동우체국,053-756-8361,09:00~18:00,Dec-88,35.8591141,128.6323093,2019-09-10
공중화장실,황금중학교,"대구광역시 수성구 들안로32길 40, (황금동)",대구광역시 수성구 황금동 821,N,24,38,6,0,0,0,53,6,0,황금중학교,053-232-7966,07:00~18:00,Mar-82,35.8434924,128.6193802,2019-09-10
개방화장실,범어2동주민센터,"대구광역시 수성구 달구벌대로489안길 7, (범어동)",대구광역시 수성구 범어동 163-1,N,1,2,1,1,0,0,2,1,0,범어2동주민센터,053-666-3554,24시간,Jan-79,35.8601155,128.6312765,2019-09-10
개방화장실,대구고용센터,"대구광역시 수성구 동대구로 392, (범어동)",대구광역시 수성구 범어동 45-31,N,9,9,1,1,0,0,20,1,0,대구고용센터,053-667-6029,09:00~18:00,Dec-18,35.86534728,128.6274428,2019-09-10
개방화장실,대구고등지방검찰청,"대구광역시 수성구 동대구로 364, (범어동)",대구광역시 수성구 범어동 458-2,N,41,49,1,0,0,0,42,1,0,대구고등지방검찰청,053-740-3300,09:00~18:00,Jan-73,35.8621645,128.6284864,2019-09-10
개방화장실,대구고등법원,"대구광역시 수성구 동대구로 364, (범어동)",대구광역시 수성구 범어동 176-1,N,46,64,25,0,0,0,47,10,0,대구고등법원,053-755-1882,09:00~18:00,Oct-73,35.8621645,128.6284864,2019-09-10
개방화장실,범어3동주민센터,"대구광역시 수성구 들안로 403-1, (범어동)",대구광역시 수성구 범어동 1265,N,1,1,0,0,0,0,1,0,0,범어3동주민센터,053-666-3573,09:00~18:00,Aug-80,35.86610038,128.6178041,2019-09-10
개방화장실,범어역,"대구광역시 수성구 달구벌대로 2398, (범어동)",대구광역시 수성구 범어동 561-4,N,4,5,1,1,0,0,10,1,1,대구도시철도공사,053-756-9376,05:30~24:00,Jan-18,35.85875474,128.6247334,2019-09-10
개방화장실,범어4동주민센터,"대구광역시 수성구 범어로20길 97, (범어동)",대구광역시 수성구 범어동 218-15,N,1,1,2,0,0,0,1,0,0,범어4동주민센터,053-666-3304,09:00~18:00,Mar-88,35.85810872,128.6412477,2019-09-10
개방화장실,범어4동치안센터,"대구광역시 수성구 청호로 421-9, (범어동)",대구광역시 수성구 범어동 831-44,N,0,1,1,0,0,0,0,0,0,범어4동치안센터,053-600-6311,09:00~18:00,Sep-90,35.85465161,128.6388173,2019-09-10
